,Date,Almacenamiento_Bateria,BioGas,Biomasa,Carbon,Cogeneracion,Diesel,Eolica,Fuel Oil,Gas_Natural,Geotermica,PetCoke,Solar,Hidraulica
0,2020-01-01,0.0,525.7656652059,4014.015,60098.0427,395.94,18.7696518201,9525.30009623,0.0,18529.395,660.5423,1268.5,23613.6280045284,69280.4795727129
1,2020-01-02,0.0,509.4594847403,3794.1041955855,78403.075,393.85,20.4502390347,10324.2999152011,0.0,29535.7583,655.1075,1268.0,23342.670558533067,73414.3544190763
2,2020-01-03,0.0,493.8913231814,4113.6135926515,77770.8589,391.38,198.0651585014,14820.9062971593,0.0,29706.2069,651.0889,1241.0,23735.551114927268,74159.4564173726
3,2020-01-04,0.0,475.2197401705,3692.5085798949,64827.913700000005,392.33,56.5586282597,16970.3562447197,0.0,33048.183,665.335,1232.5,23755.9536497118,70979.37178215
4,2020-01-05,0.0,483.65604705,3527.2530147959,62068.0797,394.03,16.429983788,10772.7985327648,0.0,32189.3898,680.9303,1229.5,20399.4723795153,67183.301976364
5,2020-01-06,0.0,426.7909980665,3564.0965016288,69541.88220000001,391.2,475.6135426143,9354.09219592,4.0,44148.0890999988,558.12,1103.0,21385.7281006071,67739.4747966975
6,2020-01-07,0.0,491.490281566,3536.844948929,69875.3616,388.14,26.5901639211,9690.1480318055,0.0,51332.5416,516.9867,1047.0,23428.2529298027,59828.3280077889
7,2020-01-08,0.0,546.7421672874,3717.7262422678,67274.1103,389.57,122.6498102906,11116.6574004472,0.0,50736.2105,597.0891,1207.5,22302.1468986556,57763.8164712947
8,2020-01-09,0.0,560.4589322926,4001.1142295537998,71643.3025,392.283,28.0137662139,14261.4241896883,0.0,41955.56,582.38,1204.0,24133.9020013798,61404.5065507159
9,2020-01-10,0.0,538.5119463853,4041.3657706224,73067.6562,384.56,96.9880576443,19095.2577045913,0.0,41438.06,580.8063,1165.5,23255.3225831066,57472.8333141017
10,2020-01-11,0.0,588.7538416731,4431.6107889402,63599.544,384.2,14.8277278291,20755.1780002708,0.0,34896.1208,547.7583,1178.5,22674.7814237279,60632.8617599505
11,2020-01-12,0.0,576.0405532537,4584.8456725157,56153.6257,378.46,30.938123817,15362.5478216757,0.0,33586.6908,440.4893,1173.0,22925.2620898056,59744.3143270993
12,2020-01-13,0.0,559.3472311049,4678.6453529663,71205.123,374.15,29.8915175672,17489.1591935646,0.0,39617.1466,520.8,1168.0,22902.518059463,63909.4060368822
13,2020-01-14,0.0,543.3923156714,4343.3574562461,68492.8873,374.951,18.9900443617,21117.9138927949,0.0,39454.4851,470.40000000000003,1180.0,21300.8690421075,66994.2676275988
14,2020-01-15,0.0,552.1088443994,4418.2133167416,66983.513,382.13,20.6531848314,21748.2151505449,0.0,39848.0275,492.0,1193.0,22156.217762902,63955.5740990145
15,2020-01-16,0.0,531.3858598983,4364.529043701,66294.14140000001,387.287,999.9334606916,14442.2979212053,0.0,51354.6342,482.40000000000003,1140.0,19896.9963179293,63653.5483397786
16,2020-01-17,0.0,519.3627645552,4932.8409029546,65607.1307,380.86,647.953581696,10192.2862575375,0.0,55527.703,460.8,1161.0,22006.182096392302,66115.2486421471
17,2020-01-18,0.0,525.385560067,4526.9091698843,62011.0133,385.48,187.3766976044,11535.8313127981,0.0,47372.742,506.40000000000003,1165.5,21505.304024725,64776.1659761943
18,2020-01-19,0.0,507.47467957550003,4465.3516427614,54862.7812,379.74,20.3463877235,10433.9833863125,0.0,42934.7953,499.20000000000005,1114.5,20155.2577557674,60728.101348185
19,2020-01-20,0.0,500.3533018049,4677.9145012816,64943.479,375.91,26.340362261,12249.3370775844,0.0,50721.8265,629.9238,1118.5,21252.81960879473,66089.64580300401
20,2020-01-21,0.0,489.5227229225,4324.2052747802,67569.6089,378.71,178.5461939866,10891.8217429559,0.0,49408.9824299456,551.9106,1093.5,22172.590717313113,70804.7959273007
21,2020-01-22,0.0,517.5138396574,4126.0661188357,73581.3969,379.41,320.3423245029,8623.1763989179,0.0,45804.5628,468.7194,1083.5,20280.03357211396,68009.0701013243
22,2020-01-23,0.0,515.2582235491,4460.1961312866,82795.6785,366.27,171.4838694901,5134.9771246978,0.0,44691.604999999996,618.5998,1064.5,18518.7092053379,70096.0130047141
23,2020-01-24,0.0,519.7786077083,4419.7029487913,90455.1755,371.25,312.4811296128,10742.4910436787,0.0,43020.8806,658.486,1046.0,16767.1846720786,64764.592898263
24,2020-01-25,0.0,503.5030055163,4260.9445207059,75338.4967,378.93,20.3462126785,10908.0821203159,0.0,45757.6034,661.8049,972.0,19211.886162240502,60578.8624926334
25,2020-01-26,0.0,514.2284436891,4684.2866069946,65816.128,370.45,150.5830871452,8684.361561072299,0.0,38310.2288,664.1908,967.5,22191.303636407898,60940.0542678235
26,2020-01-27,0.0,476.5488887299,5173.8394131422,80282.6058,366.7,493.9878250502,11893.872999794501,0.0,45981.491252319596,681.6921,989.0,22551.1626267352,63211.7519743784
27,2020-01-28,0.0,491.0073733137,5266.3904554975,88330.1178,368.3,63.6431311114,8895.4105643431,0.0,48976.4340451902,721.1832,1019.5,21859.8590154748,59697.2080182496
28,2020-01-29,0.0,501.290680575,5865.1516845703,80463.1702,367.26,277.1256609904,16395.3885134744,0.0,45594.5927352142,698.4899,1008.5,22022.623368721,57934.4028234672
29,2020-01-30,0.0,483.0615921994,5551.0777622986,81645.3227,369.68,1108.3288942153001,13735.8877443047,0.0,49222.2561,677.5602,1014.5,22253.685030795266,55508.2341416907
30,2020-01-31,0.0,486.2415826041,5621.9292709352,85537.1912,370.86,911.6490794772,11257.754145799,0.0,43099.8718946579,696.5192,1002.5,23519.5949274083,58211.42218826
31,2020-02-01,0.0,480.3804821902,5713.049437378,76344.2199,375.61,28.265627067,13173.8870231452,0.0,34193.3881206192,664.623,971.5,23319.9546031142,58285.9605487988
32,2020-02-02,0.0,460.6732868176,5324.1800002802,69807.8585,378.5,21.9246198242,8712.8062380585,0.0,31978.8558,749.4205,962.0,23451.498174998498,57872.9413563064
33,2020-02-03,0.0,471.9029887658,4780.4203748991995,73977.9518,348.45,46.5935853489,13389.7472238632,0.0,43316.2297867197,743.3524,937.5,23290.212318887,59992.1813327386
34,2020-02-04,0.0,475.2662520177,5175.5278068239,68381.6629,370.95,20.1827428093,18493.3298159488,0.0,44666.5242016744,760.0957,936.0,23314.194555836802,60782.2481568461
35,2020-02-05,0.0,467.6418217656,5313.3753527173,63580.8038,379.86,21.166466252,25703.330146785698,0.0,42650.3648,735.7370999999999,923.0,23599.7251613725,57121.3990457476
