,column,mse,rmse,mae,r2,correlation,mean_abs_percent_diff,samples
11,bess,0.0,0.0,0.0,1.0,,,355
5,biogas,194006.0,440.0,434.0,-33.0,,200.0,355
8,biomasa,1971676.0,1404.0,1333.0,-1.0,1.0,24.0,355
3,carbon,1088270.0,1043.0,971.0,1.0,1.0,3.0,355
10,cogeneracion,1035670.0,1018.0,917.0,-2.0,1.0,73.0,355
2,diesel,39763.0,199.0,33.0,1.0,1.0,4.0,355
6,eolica,624586.0,790.0,655.0,1.0,1.0,2.0,355
7,fuel-oil,137.0,12.0,2.0,-0.0,,200.0,355
12,gas-natural,55026.0,235.0,40.0,1.0,1.0,0.0,355
9,geotermica,0.0,0.0,0.0,1.0,1.0,0.0,355
1,hidraulica_calculated,45231.0,213.0,128.0,1.0,1.0,0.0,355
0,pet-coke,1089460.0,1044.0,971.0,-6.0,,200.0,355
4,solar,251321.0,501.0,355.0,1.0,1.0,1.0,355
