,column,mse,rmse,mae,r2,correlation,mean_abs_percent_diff,samples
11,bess,151.0,12.0,8.0,-3964.0,-0.0,198.0,1816
5,biogas,80437.0,284.0,192.0,-12.0,0.0,85.0,1816
8,biomasa,985791.0,993.0,677.0,-1.0,1.0,13.0,1816
3,carbon,137755671.0,11737.0,4934.0,1.0,1.0,10.0,1816
10,cogeneracion,328632.0,573.0,347.0,0.0,1.0,37.0,1816
2,diesel,6372146.0,2524.0,802.0,1.0,1.0,23.0,1816
6,eolica,17017555.0,4125.0,1744.0,1.0,1.0,7.0,1816
7,fuel-oil,20287.0,142.0,30.0,-0.0,0.0,93.0,1816
12,gas-natural,31318507.0,5596.0,2040.0,1.0,1.0,5.0,1816
9,geotermica,40721.0,202.0,66.0,1.0,1.0,6.0,1816
1,hidraulica_calculated,43996285.0,6633.0,2371.0,1.0,1.0,5.0,1816
0,pet-coke,530827.0,729.0,496.0,-2.0,0.0,103.0,1816
4,solar,15823477.0,3978.0,1623.0,1.0,1.0,4.0,1816
